"name","round","percentage"
"Auburn","6","0.1"
"Seton Hall","1","39.9"
"Oregon","2","5.7"
"Ohio State","3","1.3"
"F Dickinson","4","0.4"
"Washington","5","0.2"
"Louisville","6","0.1"
"Minnesota","1","38.0"
"Ohio State","2","4.9"
"Washington","3","1.2"
"Gardner-Webb","4","0.4"
"Saint Mary's","5","0.2"
"North Dakota St","6","0.1"
"Ole Miss","1","35.3"
"Washington","2","4.8"
"Florida","3","1.2"
"New Mexico St","4","0.4"
"North Dakota St","5","0.2"
"Gardner-Webb","6","0.1"
"Baylor","1","33.6"
"Ole Miss","2","4.5"
"Arizona St","3","1.2"
"North Dakota St","4","0.4"
"Syracuse","5","0.2"
"Iona","6","0.1"
"Murray St","1","31.4"
"Seton Hall","2","4.5"
"Seton Hall","3","1.2"
"Iona","4","0.4"
"Ohio State","5","0.2"
"Syracuse","6","0.1"
"Florida","1","30.2"
"Minnesota","2","4.1"
"New Mexico St","3","1.1"
"Iowa State","4","0.4"
"Iona","5","0.2"
"Washington","6","0.1"
"VCU","1","28.9"
"Belmont","2","3.9"
"Minnesota","3","1.1"
"Seton Hall","4","0.3"
"Iowa State","5","0.2"
"Iowa State","6","0.1"
"Saint Mary's","1","28.8"
"Arizona St","2","3.8"
"Iowa","3","0.9"
"Ohio State","4","0.3"
"Seton Hall","5","0.1"
"Iowa","6","0.1"
"Iowa","1","25.1"
"UCF","2","3.8"
"Murray St","3","0.8"
"Murray St","4","0.3"
"Murray St","5","0.1"
"Murray St","6","0.1"
"Oregon","1","23.6"
"New Mexico St","2","3.6"
"Belmont","3","0.8"
"Iowa","4","0.3"
"Iowa","5","0.1"
"Seton Hall","6","0.1"
"Washington","1","22.8"
"UC Irvine","2","3.4"
"Montana","3","0.7"
"Arizona St","4","0.3"
"Minnesota","5","0.1"
"VCU","6","0.1"
"Liberty","1","20.9"
"Iowa","2","3.4"
"Bradley","3","0.7"
"Minnesota","4","0.3"
"Liberty","5","0.1"
"Minnesota","6","0.1"
"Belmont","1","19.7"
"Saint Louis","2","3.4"
"Colgate","3","0.7"
"Florida","4","0.3"
"VCU","5","0.1"
"Arizona St","6","0.1"
"Arizona St","1","19.6"
"Baylor","2","2.8"
"Baylor","3","0.7"
"Baylor","4","0.3"
"Arizona St","5","0.1"
"Liberty","6","0.1"
"UC Irvine","1","11.1"
"Murray St","2","2.7"
"Oregon","3","0.6"
"Liberty","4","0.2"
"Florida","5","0.1"
"Florida","6","0.01"
"Saint Louis","1","10.9"
"Yale","2","1.8"
"Abil Christian","3","0.6"
"VCU","4","0.2"
"Baylor","5","0.1"
"Colgate","6","0.01"
"Yale","1","5.9"
"Old Dominion","2","1.7"
"VCU","3","0.6"
"Oregon","4","0.2"
"Montana","5","0.1"
"Abil Christian","6","0.01"
"Old Dominion","1","5.6"
"N Kentucky","2","1.6"
"Liberty","3","0.6"
"Colgate","4","0.2"
"Colgate","5","0.1"
"Baylor","6","0.01"
"N Kentucky","1","5.1"
"Georgia St","2","1.5"
"F Dickinson","3","0.5"
"Belmont","4","0.2"
"Abil Christian","5","0.1"
"Belmont","6","0.01"
"Vermont","1","3.6"
"Vermont","2","1.5"
"Gardner-Webb","3","0.5"
"Montana","4","0.2"
